sensor_num,mean,std_dev,axis
0,-573,18,0
0,-760,19,1
0,1,18,2
1,-42,13,0
1,147,15,1
1,186,13,2
2,104,8,0
2,4,14,1
2,769,23,2
3,-153,13,0
3,775,17,1
3,339,22,2
4,-126,19,0
4,-291,11,1
4,113,18,2
5,140,16,0
5,-420,17,1
5,267,15,2
6,-951,15,0
6,-692,17,1
6,205,18,2
7,-213,18,0
7,182,19,1
7,-277,15,2
8,-585,17,0
8,350,16,1
8,218,15,2
9,1352,16,0
9,-578,14,1
9,844,12,2
10,300,13,0
10,334,14,1
10,-408,13,2
11,300,18,0
11,-619,16,1
11,-228,18,2
12,-270,21,0
12,-348,12,1
12,-135,10,2
13,-28,13,0
13,-1150,17,1
13,909,9,2
14,378,10,0
14,-892,17,1
14,567,15,2
15,1100,20,0
15,533,13,1
15,193,14,2
16,-716,22,0
16,-819,15,1
16,630,14,2
17,675,14,0
17,-148,13,1
17,-51,11,2
18,-518,21,0
18,-491,12,1
18,321,17,2
19,597,14,0
19,-728,8,1
19,-212,14,2
20,902,12,0
20,198,19,1
20,508,10,2
21,-196,17,0
21,-748,15,1
21,707,18,2
22,-264,10,0
22,89,17,1
22,541,16,2
23,-233,25,0
23,1163,28,1
23,482,14,2
24,734,18,0
24,-349,15,1
24,557,21,2
25,451,26,0
25,-317,20,1
25,-197,13,2
26,-250,23,0
26,-675,18,1
26,559,13,2
27,-93,15,0
27,173,17,1
27,274,13,2
28,-159,15,0
28,895,11,1
28,108,11,2
29,198,20,0
29,269,17,1
29,734,11,2
30,1031,24,0
30,894,26,1
30,667,24,2
31,-377,17,0
31,387,13,1
31,724,21,2
32,134,18,0
32,-398,16,1
32,506,15,2
33,-566,9,0
33,299,18,1
33,-19,18,2
34,-64,16,0
34,-125,18,1
34,17,11,2
35,63,15,0
35,-174,15,1
35,170,18,2
36,127,15,0
36,341,24,1
36,821,19,2
37,11,20,0
37,-3,15,1
37,516,19,2
38,41,11,0
38,940,19,1
38,697,17,2
39,399,9,0
39,-827,11,1
39,784,20,2
40,-357,7,0
40,85,17,1
40,221,11,2
41,673,18,0
41,836,17,1
41,303,13,2
42,-61,15,0
42,-52,14,1
42,245,11,2
43,221,14,0
43,394,16,1
43,9,10,2
44,76,14,0
44,60,17,1
44,-244,13,2
