sensor_num,mean,std_dev,axis
0,499,21,0
0,-296,14,1
0,36,16,2
1,-8,20,0
1,-219,20,1
1,921,12,2
2,1286,16,0
2,-1366,12,1
2,341,18,2
3,419,17,0
3,-1653,12,1
3,852,17,2
4,133,17,0
4,430,18,1
4,1024,13,2
5,123,13,0
5,536,21,1
5,242,14,2
6,-461,19,0
6,253,25,1
6,-409,15,2
7,-838,19,0
7,-685,18,1
7,258,15,2
8,-228,18,0
8,-219,17,1
8,-377,11,2
9,-553,16,0
9,1135,15,1
9,565,14,2
10,-364,16,0
10,-983,16,1
10,204,14,2
11,1543,20,0
11,-1148,7,1
11,-155,18,2
12,1013,19,0
12,489,15,1
12,792,19,2
13,-2,19,0
13,-1066,20,1
13,237,13,2
14,277,21,0
14,-801,11,1
14,471,10,2
15,-358,10,0
15,-255,19,1
15,320,14,2
16,-147,24,0
16,-207,15,1
16,255,14,2
17,100,22,0
17,71,15,1
17,295,17,2
18,-735,13,0
18,-67,17,1
18,528,18,2
19,1011,18,0
19,-293,25,1
19,566,15,2
20,-202,14,0
20,908,15,1
20,847,11,2
21,187,17,0
21,-76,12,1
21,843,17,2
22,43,14,0
22,-57,20,1
22,805,15,2
23,-24,18,0
23,246,12,1
23,886,15,2
24,-559,17,0
24,-1309,17,1
24,1141,16,2
25,336,19,0
25,-287,16,1
25,693,15,2
26,280,13,0
26,-1606,17,1
26,332,14,2
27,487,16,0
27,441,21,1
27,614,14,2
28,-714,21,0
28,-338,25,1
28,594,18,2
29,47,21,0
29,123,19,1
29,36,12,2
30,224,21,0
30,670,23,1
30,45,15,2
31,-117,18,0
31,-124,21,1
31,1141,26,2
32,-55,18,0
32,-435,13,1
32,-263,15,2
33,-716,13,0
33,-501,13,1
33,654,10,2
34,560,25,0
34,305,16,1
34,96,26,2
35,-233,16,0
35,-434,16,1
35,348,14,2
36,326,15,0
36,-255,18,1
36,304,10,2
37,-105,17,0
37,388,23,1
37,550,15,2
38,261,19,0
38,519,20,1
38,860,16,2
39,-192,16,0
39,1354,8,1
39,235,17,2
40,-172,16,0
40,-636,20,1
40,1159,19,2
41,303,17,0
41,-680,17,1
41,21,12,2
42,597,10,0
42,667,18,1
42,138,15,2
43,-41,13,0
43,565,18,1
43,837,19,2
44,258,12,0
44,302,16,1
44,552,19,2
