sensor_num,mean,std_dev,axis
0,-1101,18,0
0,-634,14,1
0,-118,15,2
1,-531,14,0
1,-269,24,1
1,98,12,2
2,-487,25,0
2,63,15,1
2,74,16,2
3,-251,25,0
3,-145,21,1
3,228,11,2
4,-392,18,0
4,-90,25,1
4,1110,18,2
5,459,15,0
5,-1129,20,1
5,-163,21,2
6,232,15,0
6,-168,13,1
6,648,13,2
7,773,14,0
7,-498,13,1
7,477,16,2
8,341,12,0
8,128,12,1
8,49,22,2
9,148,19,0
9,5,21,1
9,210,20,2
10,-273,17,0
10,-48,11,1
10,-548,14,2
11,32,17,0
11,1508,16,1
11,674,11,2
12,592,11,0
12,298,18,1
12,143,13,2
13,176,16,0
13,-35,15,1
13,314,15,2
14,-831,22,0
14,-242,13,1
14,440,12,2
15,-205,14,0
15,-517,18,1
15,53,21,2
16,-244,18,0
16,-1195,19,1
16,397,14,2
17,70,15,0
17,671,15,1
17,-11,16,2
18,254,18,0
18,839,22,1
18,77,8,2
19,637,21,0
19,140,20,1
19,-267,20,2
20,626,14,0
20,173,15,1
20,441,8,2
21,127,17,0
21,-470,17,1
21,512,16,2
22,-437,18,0
22,-62,13,1
22,65,18,2
23,-1090,22,0
23,378,18,1
23,-13,13,2
24,-300,20,0
24,-280,14,1
24,9,13,2
25,648,18,0
25,-550,23,1
25,519,9,2
26,-1829,34,0
26,116,37,1
26,1467,39,2
27,336,18,0
27,-837,18,1
27,155,17,2
28,-862,15,0
28,-699,15,1
28,291,20,2
29,-608,14,0
29,337,16,1
29,805,17,2
30,-419,19,0
30,1600,17,1
30,665,10,2
31,548,14,0
31,-586,17,1
31,688,18,2
32,51,15,0
32,167,14,1
32,179,12,2
33,1061,25,0
33,-406,15,1
33,-478,17,2
34,268,19,0
34,-1937,13,1
34,-318,20,2
35,-22,8,0
35,-2182,13,1
35,177,17,2
36,625,18,0
36,-249,20,1
36,602,8,2
37,-199,17,0
37,-1027,19,1
37,906,14,2
38,820,13,0
38,55,17,1
38,198,15,2
39,-253,15,0
39,-354,17,1
39,90,21,2
40,529,14,0
40,-93,14,1
40,-449,16,2
41,-1129,16,0
41,-296,10,1
41,1065,17,2
42,-246,17,0
42,176,16,1
42,326,14,2
43,591,11,0
43,-549,21,1
43,373,8,2
44,445,28,0
44,-68,11,1
44,-479,17,2
