sensor_num,mean,std_dev,axis
0,461,8,0
0,980,24,1
0,643,20,2
1,898,17,0
1,446,12,1
1,307,13,2
2,653,21,0
2,-48,13,1
2,187,18,2
3,-662,16,0
3,-569,24,1
3,607,18,2
4,169,12,0
4,-239,18,1
4,426,13,2
5,-534,16,0
5,145,12,1
5,23,13,2
6,262,19,0
6,-229,13,1
6,617,7,2
7,456,15,0
7,-1261,17,1
7,-48,21,2
8,-110,14,0
8,1247,16,1
8,900,11,2
9,-28,17,0
9,271,24,1
9,555,18,2
10,-200,8,0
10,-108,15,1
10,878,11,2
11,-632,11,0
11,248,21,1
11,251,18,2
12,-134,24,0
12,-881,14,1
12,363,20,2
13,-446,13,0
13,-1392,16,1
13,614,21,2
14,795,15,0
14,129,22,1
14,351,13,2
15,932,24,0
15,554,18,1
15,823,19,2
16,-655,13,0
16,-437,15,1
16,367,14,2
17,-734,22,0
17,366,17,1
17,11,19,2
18,645,17,0
18,903,22,1
18,-126,19,2
19,611,18,0
19,346,18,1
19,-370,17,2
20,78,14,0
20,-240,21,1
20,262,18,2
21,534,14,0
21,433,14,1
21,422,15,2
22,-518,15,0
22,-804,14,1
22,-572,11,2
23,354,16,0
23,-415,15,1
23,904,10,2
24,497,18,0
24,-101,19,1
24,853,18,2
25,-111,15,0
25,-1258,16,1
25,-75,16,2
26,-249,11,0
26,-205,24,1
26,522,15,2
27,275,16,0
27,-136,20,1
27,-390,18,2
28,1387,19,0
28,-289,14,1
28,218,16,2
29,-561,17,0
29,-429,13,1
29,194,10,2
30,1175,14,0
30,-98,22,1
30,307,10,2
31,106,12,0
31,86,15,1
31,-105,16,2
32,-241,21,0
32,-467,20,1
32,342,9,2
33,-427,10,0
33,-11,21,1
33,1387,14,2
34,-204,13,0
34,-603,11,1
34,-132,14,2
35,17,20,0
35,-821,10,1
35,575,18,2
36,35,22,0
36,-390,12,1
36,201,20,2
37,-637,23,0
37,-1423,11,1
37,-680,13,2
38,-1342,15,0
38,-455,13,1
38,256,21,2
39,-166,15,0
39,-697,16,1
39,-227,17,2
40,-1924,14,0
40,-739,17,1
40,561,22,2
41,-543,11,0
41,356,17,1
41,715,13,2
42,-1176,15,0
42,-1046,18,1
42,61,19,2
43,191,12,0
43,-572,19,1
43,865,16,2
44,1206,18,0
44,799,17,1
44,881,12,2
