sensor_num,mean,std_dev,axis
0,650,19,0
0,391,13,1
0,449,14,2
1,38,26,0
1,121,12,1
1,757,14,2
2,439,14,0
2,22,9,1
2,465,15,2
3,1002,11,0
3,-716,17,1
3,103,15,2
4,-366,14,0
4,353,15,1
4,-131,15,2
5,-579,11,0
5,-504,17,1
5,978,10,2
6,442,18,0
6,-194,16,1
6,72,22,2
7,-440,11,0
7,-529,17,1
7,420,16,2
8,-857,12,0
8,364,15,1
8,158,21,2
9,161,14,0
9,-186,18,1
9,-17,13,2
10,-566,14,0
10,24,16,1
10,415,15,2
11,-1411,17,0
11,-294,15,1
11,236,25,2
12,-408,15,0
12,-1078,14,1
12,689,23,2
13,603,20,0
13,50,20,1
13,391,17,2
14,571,12,0
14,582,24,1
14,436,13,2
15,1045,17,0
15,498,20,1
15,11,15,2
16,-911,10,0
16,980,19,1
16,-277,18,2
17,712,17,0
17,-427,22,1
17,514,14,2
18,-95,14,0
18,-776,15,1
18,412,13,2
19,1322,29,0
19,319,15,1
19,896,17,2
20,567,18,0
20,55,18,1
20,978,15,2
21,-71,20,0
21,-435,17,1
21,-245,11,2
22,750,13,0
22,552,18,1
22,453,12,2
23,-383,20,0
23,-475,16,1
23,-524,13,2
24,-248,9,0
24,-640,14,1
24,72,13,2
25,646,22,0
25,1063,15,1
25,-123,18,2
26,400,16,0
26,-167,14,1
26,1204,17,2
27,665,13,0
27,-479,19,1
27,426,17,2
28,800,14,0
28,586,10,1
28,303,13,2
29,1417,17,0
29,1130,14,1
29,196,10,2
30,171,11,0
30,-119,22,1
30,239,11,2
31,922,20,0
31,222,17,1
31,397,20,2
32,-30,14,0
32,473,18,1
32,311,14,2
33,586,9,0
33,28,14,1
33,391,11,2
34,389,15,0
34,-267,9,1
34,485,10,2
35,-615,19,0
35,873,14,1
35,496,12,2
36,-170,10,0
36,420,15,1
36,478,17,2
37,509,12,0
37,-456,10,1
37,866,11,2
38,313,17,0
38,-115,13,1
38,471,16,2
39,426,13,0
39,41,14,1
39,509,17,2
40,-75,14,0
40,110,17,1
40,156,11,2
41,573,16,0
41,-675,10,1
41,1080,15,2
42,536,18,0
42,560,15,1
42,77,17,2
43,-644,16,0
43,648,26,1
43,-7,18,2
44,-200,19,0
44,-845,12,1
44,57,16,2
