sensor_num,mean,std_dev,axis
0,-179,22,0
0,-576,16,1
0,48,16,2
1,-605,13,0
1,117,18,1
1,213,9,2
2,317,17,0
2,-211,12,1
2,696,16,2
3,-749,14,0
3,589,19,1
3,-34,10,2
4,236,22,0
4,-620,13,1
4,253,11,2
5,-41,13,0
5,92,11,1
5,769,18,2
6,841,19,0
6,-906,20,1
6,73,13,2
7,-603,15,0
7,-133,14,1
7,-558,18,2
8,33,16,0
8,-814,12,1
8,450,15,2
9,514,20,0
9,1014,12,1
9,560,25,2
10,-460,13,0
10,-10,16,1
10,427,18,2
11,-417,12,0
11,-155,16,1
11,711,14,2
12,272,10,0
12,465,17,1
12,541,15,2
13,-330,15,0
13,1240,13,1
13,1017,13,2
14,905,7,0
14,-761,13,1
14,666,12,2
15,380,20,0
15,-723,20,1
15,1033,14,2
16,-543,21,0
16,-1452,12,1
16,60,22,2
17,1640,13,0
17,-587,11,1
17,65,14,2
18,-902,13,0
18,54,14,1
18,738,13,2
19,558,12,0
19,433,17,1
19,706,17,2
20,-387,13,0
20,1,11,1
20,-16,12,2
21,-188,11,0
21,-314,11,1
21,-74,13,2
22,502,11,0
22,-164,19,1
22,795,11,2
23,1167,19,0
23,463,16,1
23,294,22,2
24,54,12,0
24,-428,15,1
24,617,12,2
25,574,16,0
25,-1171,14,1
25,550,19,2
26,725,19,0
26,-80,16,1
26,29,15,2
27,-179,22,0
27,-446,15,1
27,741,23,2
28,197,18,0
28,-810,17,1
28,169,15,2
29,349,14,0
29,-299,16,1
29,614,19,2
30,735,19,0
30,-83,17,1
30,225,13,2
31,476,16,0
31,-749,17,1
31,305,16,2
32,412,13,0
32,33,24,1
32,61,14,2
33,336,15,0
33,-178,16,1
33,-30,18,2
34,573,23,0
34,-112,16,1
34,402,10,2
35,321,17,0
35,-1169,15,1
35,425,14,2
36,-215,14,0
36,851,16,1
36,298,15,2
37,251,21,0
37,-143,11,1
37,460,16,2
38,-26,21,0
38,-784,14,1
38,-71,20,2
39,-174,20,0
39,-68,23,1
39,653,18,2
40,798,16,0
40,1171,17,1
40,726,22,2
41,-567,13,0
41,-102,12,1
41,654,18,2
42,-700,16,0
42,40,13,1
42,337,17,2
43,69,22,0
43,-310,16,1
43,720,18,2
44,268,20,0
44,-138,9,1
44,861,20,2
