sensor_num,mean,std_dev,axis
0,-655,19,0
0,-1505,13,1
0,668,13,2
1,-145,19,0
1,-823,17,1
1,1043,17,2
2,-54,13,0
2,1114,19,1
2,-241,13,2
3,377,16,0
3,213,17,1
3,32,18,2
4,-122,16,0
4,-392,15,1
4,308,17,2
5,-107,14,0
5,261,18,1
5,160,17,2
6,873,16,0
6,-979,17,1
6,-371,22,2
7,1078,15,0
7,-1042,15,1
7,447,18,2
8,209,20,0
8,-355,21,1
8,-89,19,2
9,344,17,0
9,1001,18,1
9,580,18,2
10,675,18,0
10,-1339,12,1
10,1045,20,2
11,-191,19,0
11,812,15,1
11,152,16,2
12,-276,26,0
12,-502,18,1
12,449,14,2
13,544,17,0
13,191,13,1
13,-452,11,2
14,-928,10,0
14,-541,18,1
14,-543,21,2
15,-744,16,0
15,396,12,1
15,-185,14,2
16,1059,18,0
16,-1111,22,1
16,169,17,2
17,130,14,0
17,1357,12,1
17,-198,12,2
18,425,19,0
18,-485,20,1
18,973,22,2
19,-262,10,0
19,-761,11,1
19,-201,16,2
20,-160,9,0
20,-90,15,1
20,-90,11,2
21,47,23,0
21,-73,15,1
21,395,14,2
22,358,19,0
22,313,23,1
22,68,19,2
23,35,16,0
23,-11,11,1
23,-477,12,2
24,-78,11,0
24,-1325,17,1
24,-272,16,2
25,-25,20,0
25,451,18,1
25,190,12,2
26,-1029,17,0
26,1925,21,1
26,303,20,2
27,492,18,0
27,-815,15,1
27,750,15,2
28,718,15,0
28,-525,19,1
28,615,25,2
29,-977,21,0
29,407,19,1
29,171,10,2
30,-514,12,0
30,-222,17,1
30,251,22,2
31,-387,14,0
31,-587,22,1
31,-415,23,2
32,-602,18,0
32,-400,13,1
32,-85,19,2
33,0,20,0
33,-1014,9,1
33,352,14,2
34,-412,18,0
34,-585,14,1
34,549,17,2
35,-897,12,0
35,-214,18,1
35,-13,12,2
36,586,20,0
36,-1151,13,1
36,-208,18,2
37,627,24,0
37,453,15,1
37,28,16,2
38,982,17,0
38,414,15,1
38,46,16,2
39,315,18,0
39,-103,16,1
39,325,12,2
40,1052,15,0
40,1231,20,1
40,330,10,2
41,1560,14,0
41,41,23,1
41,502,15,2
42,-196,15,0
42,359,14,1
42,660,17,2
43,-41,19,0
43,395,14,1
43,-185,21,2
44,1171,15,0
44,11,17,1
44,-351,16,2
