sensor_num,mean,std_dev,axis
0,474,14,0
0,743,13,1
0,-434,16,2
1,493,11,0
1,11,12,1
1,5,17,2
2,-41,22,0
2,-125,17,1
2,651,7,2
3,-539,24,0
3,513,18,1
3,-574,16,2
4,586,18,0
4,-3,14,1
4,116,11,2
5,138,15,0
5,611,18,1
5,-181,22,2
6,1065,18,0
6,-103,19,1
6,681,16,2
7,1039,12,0
7,37,21,1
7,636,15,2
8,1193,15,0
8,261,22,1
8,289,14,2
9,604,16,0
9,165,22,1
9,615,12,2
10,735,16,0
10,-1130,15,1
10,1062,10,2
11,-277,13,0
11,-396,20,1
11,-18,9,2
12,503,13,0
12,-929,12,1
12,466,18,2
13,-359,11,0
13,1501,15,1
13,1076,15,2
14,-344,17,0
14,-396,24,1
14,861,16,2
15,1070,12,0
15,505,21,1
15,659,16,2
16,320,17,0
16,-593,13,1
16,368,18,2
17,234,15,0
17,878,12,1
17,267,11,2
18,1102,13,0
18,-745,14,1
18,545,11,2
19,1037,19,0
19,371,20,1
19,-84,9,2
20,455,13,0
20,-232,19,1
20,304,16,2
21,138,15,0
21,-362,9,1
21,-566,15,2
22,710,9,0
22,979,14,1
22,958,25,2
23,-126,17,0
23,-33,14,1
23,244,13,2
24,1000,14,0
24,-613,20,1
24,-125,13,2
25,-477,16,0
25,-107,15,1
25,518,16,2
26,1128,16,0
26,-518,19,1
26,-173,13,2
27,-91,12,0
27,156,17,1
27,1073,10,2
28,516,17,0
28,63,20,1
28,825,19,2
29,-738,21,0
29,373,19,1
29,-91,17,2
30,-583,20,0
30,633,12,1
30,371,12,2
31,373,18,0
31,-20,21,1
31,129,13,2
32,-972,18,0
32,-926,21,1
32,-362,11,2
33,1066,3,0
33,776,18,1
33,395,14,2
34,-825,16,0
34,45,20,1
34,969,9,2
35,-446,18,0
35,957,15,1
35,446,21,2
36,-221,13,0
36,500,13,1
36,435,14,2
37,1642,10,0
37,-54,17,1
37,963,16,2
38,-129,21,0
38,-311,14,1
38,251,19,2
39,974,16,0
39,-455,23,1
39,45,13,2
40,641,13,0
40,-535,20,1
40,-258,14,2
41,472,17,0
41,326,18,1
41,-201,12,2
42,1131,17,0
42,1044,20,1
42,352,13,2
43,625,17,0
43,390,15,1
43,82,16,2
44,193,20,0
44,382,20,1
44,285,19,2
