sensor_num,mean,std_dev,axis
0,-943,17,0
0,1291,15,1
0,354,15,2
1,-1261,13,0
1,978,18,1
1,72,14,2
2,385,19,0
2,-417,10,1
2,649,18,2
3,215,22,0
3,62,25,1
3,188,26,2
4,-22,14,0
4,1008,22,1
4,-40,12,2
5,363,19,0
5,385,20,1
5,-282,19,2
6,534,29,0
6,1279,15,1
6,-354,15,2
7,1163,22,0
7,-304,13,1
7,338,14,2
8,517,20,0
8,-791,16,1
8,108,16,2
9,312,18,0
9,525,17,1
9,530,16,2
10,-113,15,0
10,-389,18,1
10,737,13,2
11,1050,22,0
11,219,11,1
11,510,15,2
12,526,22,0
12,-141,14,1
12,266,16,2
13,-590,14,0
13,155,23,1
13,604,14,2
14,256,17,0
14,284,13,1
14,577,13,2
15,312,17,0
15,-234,22,1
15,-45,16,2
16,-476,15,0
16,-495,14,1
16,207,17,2
17,9,16,0
17,-283,13,1
17,836,13,2
18,-607,15,0
18,-342,18,1
18,190,14,2
19,1040,21,0
19,471,18,1
19,103,20,2
20,585,21,0
20,-117,14,1
20,78,15,2
21,-292,18,0
21,590,16,1
21,39,13,2
22,276,24,0
22,181,23,1
22,-60,12,2
23,-370,18,0
23,364,19,1
23,496,15,2
24,-254,18,0
24,-206,17,1
24,84,11,2
25,203,15,0
25,766,18,1
25,302,15,2
26,162,20,0
26,-751,18,1
26,487,14,2
27,432,13,0
27,-984,16,1
27,-91,12,2
28,-272,16,0
28,-685,17,1
28,128,15,2
29,-605,19,0
29,488,13,1
29,533,15,2
30,-403,12,0
30,712,25,1
30,806,19,2
31,-209,14,0
31,-426,14,1
31,-7,16,2
32,515,16,0
32,408,11,1
32,292,14,2
33,-1028,18,0
33,-244,16,1
33,473,16,2
34,401,14,0
34,282,16,1
34,791,17,2
35,1240,13,0
35,450,18,1
35,703,19,2
36,-250,23,0
36,142,21,1
36,70,16,2
37,315,15,0
37,-234,19,1
37,444,13,2
38,-407,15,0
38,-1182,15,1
38,-327,16,2
39,534,14,0
39,1160,17,1
39,108,16,2
40,-61,12,0
40,120,12,1
40,356,19,2
41,366,15,0
41,-265,20,1
41,609,14,2
42,-374,19,0
42,392,10,1
42,224,10,2
43,506,16,0
43,-97,16,1
43,311,15,2
44,1536,7,0
44,454,16,1
44,221,17,2
