sensor_num,mean,std_dev,axis
0,713,18,0
0,-561,13,1
0,-202,18,2
1,-84,12,0
1,168,15,1
1,549,10,2
2,397,19,0
2,525,13,1
2,798,21,2
3,306,19,0
3,92,9,1
3,471,16,2
4,552,14,0
4,-495,15,1
4,823,13,2
5,860,17,0
5,-945,12,1
5,545,16,2
6,469,17,0
6,-162,13,1
6,632,12,2
7,-211,15,0
7,-37,16,1
7,433,18,2
8,-215,16,0
8,-324,17,1
8,395,11,2
9,-349,20,0
9,-337,18,1
9,635,10,2
10,119,13,0
10,-1688,17,1
10,20,15,2
11,165,15,0
11,-295,18,1
11,718,18,2
12,800,21,0
12,-598,14,1
12,62,13,2
13,-13,10,0
13,759,24,1
13,343,13,2
14,1873,15,0
14,-287,12,1
14,738,15,2
15,57,16,0
15,-264,15,1
15,260,11,2
16,782,10,0
16,229,16,1
16,346,20,2
17,-35,14,0
17,5,16,1
17,411,14,2
18,-146,24,0
18,-775,16,1
18,-32,24,2
19,-856,22,0
19,-880,23,1
19,588,16,2
20,443,21,0
20,853,9,1
20,368,14,2
21,495,15,0
21,-525,20,1
21,205,16,2
22,-682,9,0
22,-313,14,1
22,689,15,2
23,844,13,0
23,776,17,1
23,406,11,2
24,521,20,0
24,-36,11,1
24,234,22,2
25,-145,14,0
25,182,15,1
25,975,23,2
26,412,15,0
26,238,15,1
26,-257,17,2
27,249,21,0
27,464,16,1
27,430,25,2
28,-102,15,0
28,880,12,1
28,-474,19,2
29,-670,17,0
29,516,21,1
29,990,13,2
30,50,11,0
30,-47,13,1
30,865,16,2
31,-341,15,0
31,-904,10,1
31,-124,21,2
32,-197,19,0
32,134,13,1
32,614,10,2
33,401,20,0
33,-8,21,1
33,-295,16,2
34,385,9,0
34,-558,18,1
34,375,19,2
35,468,14,0
35,-71,14,1
35,-47,11,2
36,573,13,0
36,243,17,1
36,927,16,2
37,-586,13,0
37,484,17,1
37,622,17,2
38,489,13,0
38,381,20,1
38,297,14,2
39,473,12,0
39,-1171,19,1
39,264,12,2
40,91,18,0
40,340,12,1
40,578,16,2
41,535,12,0
41,472,21,1
41,41,12,2
42,648,18,0
42,261,19,1
42,667,18,2
43,-263,11,0
43,-16,16,1
43,-460,13,2
44,-306,14,0
44,-715,8,1
44,592,12,2
