sensor_num,mean,std_dev,axis
0,-259,13,0
0,347,19,1
0,590,20,2
1,132,11,0
1,99,13,1
1,604,20,2
2,-277,11,0
2,581,20,1
2,-94,12,2
3,-955,13,0
3,508,21,1
3,-70,14,2
4,310,16,0
4,-347,16,1
4,249,14,2
5,-213,26,0
5,1270,17,1
5,230,10,2
6,155,18,0
6,-128,13,1
6,1099,19,2
7,-330,16,0
7,24,17,1
7,622,17,2
8,-341,13,0
8,420,16,1
8,-529,19,2
9,144,19,0
9,-980,17,1
9,769,19,2
10,306,11,0
10,-806,18,1
10,272,12,2
11,-213,20,0
11,-1491,14,1
11,575,19,2
12,-82,20,0
12,-260,23,1
12,-31,19,2
13,869,12,0
13,386,15,1
13,816,15,2
14,329,12,0
14,-1038,16,1
14,97,16,2
15,-621,20,0
15,907,21,1
15,778,21,2
16,1023,12,0
16,132,13,1
16,497,14,2
17,468,13,0
17,-923,13,1
17,317,8,2
18,415,13,0
18,471,20,1
18,225,15,2
19,-473,17,0
19,-1228,17,1
19,572,13,2
20,1,23,0
20,-86,22,1
20,88,15,2
21,-312,17,0
21,-424,15,1
21,361,20,2
22,-334,16,0
22,-120,18,1
22,728,14,2
23,-109,19,0
23,570,16,1
23,589,20,2
24,291,14,0
24,556,20,1
24,-31,17,2
25,491,15,0
25,-570,15,1
25,748,15,2
26,-155,18,0
26,-478,10,1
26,458,14,2
27,94,19,0
27,262,17,1
27,294,11,2
28,-383,16,0
28,1062,16,1
28,-6,14,2
29,-272,18,0
29,584,17,1
29,189,21,2
30,-977,17,0
30,5,13,1
30,-373,11,2
31,431,15,0
31,132,18,1
31,-792,15,2
32,1307,25,0
32,28,9,1
32,105,12,2
33,119,16,0
33,394,23,1
33,233,22,2
34,1369,20,0
34,61,23,1
34,528,7,2
35,359,11,0
35,412,18,1
35,654,10,2
36,418,17,0
36,-500,17,1
36,1060,15,2
37,-596,15,0
37,456,12,1
37,154,17,2
38,-1216,19,0
38,-485,18,1
38,-143,17,2
39,-1078,18,0
39,-833,13,1
39,852,19,2
40,-117,20,0
40,-839,13,1
40,154,12,2
41,-2,13,0
41,-912,14,1
41,463,11,2
42,-10,13,0
42,-372,13,1
42,434,19,2
43,-125,14,0
43,-213,16,1
43,-58,11,2
44,-225,12,0
44,-176,18,1
44,1153,17,2
