sensor_num,mean,std_dev,axis
0,-1069,13,0
0,-320,18,1
0,-31,15,2
1,646,18,0
1,-4,19,1
1,1131,21,2
2,25,16,0
2,-248,12,1
2,285,19,2
3,-35,19,0
3,-155,11,1
3,660,18,2
4,-660,15,0
4,258,14,1
4,561,16,2
5,579,21,0
5,430,17,1
5,809,17,2
6,-264,24,0
6,630,18,1
6,497,15,2
7,-126,21,0
7,336,17,1
7,805,15,2
8,-621,12,0
8,-232,20,1
8,385,23,2
9,-325,21,0
9,-158,24,1
9,763,18,2
10,-710,14,0
10,403,23,1
10,391,18,2
11,390,21,0
11,594,12,1
11,39,12,2
12,-518,14,0
12,1082,15,1
12,450,13,2
13,387,21,0
13,62,14,1
13,318,21,2
14,36,19,0
14,-72,14,1
14,-41,12,2
15,201,14,0
15,-401,22,1
15,-262,13,2
16,-466,17,0
16,545,23,1
16,62,14,2
17,-669,14,0
17,375,22,1
17,188,15,2
18,-59,24,0
18,376,15,1
18,949,15,2
19,567,14,0
19,640,11,1
19,-16,10,2
20,167,18,0
20,109,15,1
20,677,11,2
21,-379,12,0
21,-517,10,1
21,678,14,2
22,242,25,0
22,225,19,1
22,837,19,2
23,-279,18,0
23,-482,14,1
23,110,10,2
24,-203,11,0
24,-671,13,1
24,707,17,2
25,970,17,0
25,-200,19,1
25,387,19,2
26,792,15,0
26,-369,14,1
26,31,16,2
27,-276,23,0
27,-1244,15,1
27,299,17,2
28,134,23,0
28,512,16,1
28,74,16,2
29,-198,12,0
29,-417,18,1
29,-191,14,2
30,-153,25,0
30,-701,18,1
30,-88,19,2
31,-534,11,0
31,-661,19,1
31,190,22,2
32,-473,20,0
32,-334,12,1
32,890,13,2
33,646,14,0
33,261,16,1
33,-110,19,2
34,350,12,0
34,969,15,1
34,855,11,2
35,1495,21,0
35,683,22,1
35,-213,19,2
36,528,19,0
36,-519,15,1
36,146,14,2
37,-865,20,0
37,-1080,18,1
37,750,16,2
38,940,14,0
38,854,12,1
38,-178,15,2
39,444,14,0
39,435,11,1
39,-375,15,2
40,1005,13,0
40,-1141,25,1
40,111,15,2
41,-286,17,0
41,216,18,1
41,512,14,2
42,34,19,0
42,-129,19,1
42,316,16,2
43,285,12,0
43,-435,15,1
43,162,18,2
44,427,15,0
44,244,19,1
44,70,15,2
