sensor_num,mean,std_dev,axis
0,-541,12,0
0,-423,16,1
0,697,15,2
1,-466,19,0
1,-169,19,1
1,503,22,2
2,739,14,0
2,-214,16,1
2,-536,17,2
3,854,14,0
3,-206,15,1
3,630,12,2
4,-541,18,0
4,-433,14,1
4,148,13,2
5,565,21,0
5,-331,19,1
5,129,13,2
6,-64,17,0
6,599,15,1
6,94,14,2
7,-397,15,0
7,1119,15,1
7,948,16,2
8,-935,21,0
8,598,17,1
8,476,14,2
9,385,19,0
9,-166,21,1
9,526,13,2
10,844,26,0
10,-216,15,1
10,-57,11,2
11,-37,15,0
11,-816,9,1
11,377,20,2
12,-793,22,0
12,688,18,1
12,-838,15,2
13,290,15,0
13,416,16,1
13,692,13,2
14,-224,13,0
14,-189,14,1
14,-357,9,2
15,-85,14,0
15,-354,15,1
15,647,16,2
16,143,15,0
16,-1389,17,1
16,554,15,2
17,52,17,0
17,-98,17,1
17,393,14,2
18,110,19,0
18,-193,20,1
18,514,15,2
19,448,15,0
19,-654,19,1
19,526,14,2
20,803,16,0
20,-1011,18,1
20,687,15,2
21,635,19,0
21,877,9,1
21,205,13,2
22,223,15,0
22,76,21,1
22,60,16,2
23,329,17,0
23,-507,20,1
23,560,18,2
24,428,16,0
24,5,13,1
24,345,13,2
25,669,22,0
25,-274,11,1
25,45,18,2
26,125,12,0
26,240,14,1
26,256,22,2
27,-92,17,0
27,-715,14,1
27,286,16,2
28,609,21,0
28,-475,18,1
28,413,20,2
29,152,15,0
29,199,14,1
29,85,19,2
30,39,15,0
30,-928,22,1
30,421,11,2
31,-673,16,0
31,128,14,1
31,673,10,2
32,330,15,0
32,-760,15,1
32,144,21,2
33,-452,17,0
33,167,16,1
33,-250,15,2
34,-18,17,0
34,-450,19,1
34,-304,12,2
35,154,13,0
35,250,13,1
35,543,12,2
36,-221,15,0
36,144,14,1
36,-337,19,2
37,1029,24,0
37,1009,17,1
37,788,9,2
38,-513,19,0
38,-1172,14,1
38,213,12,2
39,-107,10,0
39,-874,27,1
39,128,20,2
40,-377,13,0
40,487,14,1
40,289,14,2
41,575,21,0
41,50,18,1
41,361,15,2
42,238,14,0
42,1104,12,1
42,562,18,2
43,-179,13,0
43,-662,16,1
43,-60,21,2
44,632,11,0
44,-1026,12,1
44,562,19,2
