sensor_num,mean,std_dev,axis
0,-269,13,0
0,997,21,1
0,230,15,2
1,-247,17,0
1,878,10,1
1,-78,13,2
2,610,21,0
2,-1305,15,1
2,-118,13,2
3,-311,18,0
3,-278,19,1
3,587,10,2
4,-63,20,0
4,-29,18,1
4,293,13,2
5,299,13,0
5,-470,19,1
5,494,17,2
6,-331,15,0
6,618,18,1
6,510,14,2
7,445,23,0
7,23,16,1
7,602,18,2
8,-79,9,0
8,-546,20,1
8,186,17,2
9,-8,19,0
9,-121,16,1
9,-241,14,2
10,135,17,0
10,16,13,1
10,681,14,2
11,-82,25,0
11,-54,18,1
11,682,14,2
12,-562,18,0
12,349,22,1
12,-528,11,2
13,259,14,0
13,232,13,1
13,21,15,2
14,40,10,0
14,-9,18,1
14,546,14,2
15,824,19,0
15,-1253,21,1
15,429,11,2
16,-256,20,0
16,837,16,1
16,883,18,2
17,231,23,0
17,-90,16,1
17,203,11,2
18,484,12,0
18,-54,10,1
18,120,16,2
19,628,15,0
19,-125,16,1
19,-4,16,2
20,-572,19,0
20,355,16,1
20,54,18,2
21,-387,19,0
21,130,15,1
21,678,18,2
22,1122,8,0
22,-153,18,1
22,-212,16,2
23,351,12,0
23,-72,15,1
23,967,16,2
24,-174,13,0
24,372,6,1
24,-405,18,2
25,99,13,0
25,785,19,1
25,360,15,2
26,-177,18,0
26,724,19,1
26,391,21,2
27,-160,20,0
27,7,13,1
27,110,14,2
28,52,20,0
28,770,16,1
28,-91,17,2
29,-20,19,0
29,554,12,1
29,252,19,2
30,-831,21,0
30,-638,19,1
30,124,18,2
31,-680,21,0
31,-624,9,1
31,808,25,2
32,343,16,0
32,-275,12,1
32,492,11,2
33,-360,19,0
33,632,20,1
33,421,13,2
34,360,19,0
34,-198,12,1
34,406,13,2
35,202,25,0
35,-844,20,1
35,955,13,2
36,-550,14,0
36,-581,18,1
36,651,15,2
37,221,18,0
37,-14,19,1
37,354,16,2
38,-43,19,0
38,-85,11,1
38,830,19,2
39,657,17,0
39,-538,17,1
39,387,18,2
40,53,12,0
40,752,19,1
40,377,21,2
41,-188,19,0
41,-6,11,1
41,210,18,2
42,-68,9,0
42,274,17,1
42,-48,12,2
43,768,14,0
43,-761,11,1
43,-31,15,2
44,-264,14,0
44,-1031,12,1
44,-24,20,2
