sensor_num,mean,std_dev,axis
0,-654,18,0
0,-610,13,1
0,673,19,2
1,52,18,0
1,-724,15,1
1,519,12,2
2,132,15,0
2,131,19,1
2,72,14,2
3,22,16,0
3,151,13,1
3,516,14,2
4,178,17,0
4,-231,18,1
4,130,15,2
5,184,19,0
5,109,15,1
5,326,15,2
6,-706,19,0
6,-856,11,1
6,902,18,2
7,-228,18,0
7,132,14,1
7,-182,12,2
8,-969,14,0
8,-819,20,1
8,424,12,2
9,55,29,0
9,-383,16,1
9,67,14,2
10,153,20,0
10,192,19,1
10,32,16,2
11,347,14,0
11,-434,18,1
11,124,18,2
12,-327,24,0
12,168,16,1
12,-70,17,2
13,-675,21,0
13,-212,8,1
13,1162,16,2
14,6,16,0
14,600,13,1
14,-29,10,2
15,-141,16,0
15,182,17,1
15,315,10,2
16,282,12,0
16,-1001,17,1
16,549,20,2
17,92,17,0
17,-230,14,1
17,-575,14,2
18,380,21,0
18,19,12,1
18,218,17,2
19,649,26,0
19,-94,15,1
19,-66,11,2
20,538,14,0
20,-139,21,1
20,674,22,2
21,-279,16,0
21,-668,16,1
21,433,15,2
22,409,12,0
22,-410,10,1
22,-274,15,2
23,430,17,0
23,-29,17,1
23,156,11,2
24,-569,20,0
24,1313,16,1
24,782,13,2
25,253,19,0
25,154,16,1
25,-136,17,2
26,297,17,0
26,-395,21,1
26,769,24,2
27,325,16,0
27,804,14,1
27,13,22,2
28,-911,18,0
28,223,16,1
28,582,18,2
29,-83,18,0
29,-794,16,1
29,385,16,2
30,444,22,0
30,903,15,1
30,-135,12,2
31,36,11,0
31,-785,18,1
31,81,14,2
32,675,15,0
32,18,14,1
32,-329,15,2
33,-628,12,0
33,-775,15,1
33,303,24,2
34,497,16,0
34,49,13,1
34,253,11,2
35,520,13,0
35,-221,18,1
35,214,13,2
36,-800,15,0
36,-615,17,1
36,349,18,2
37,370,8,0
37,-279,16,1
37,-159,17,2
38,87,14,0
38,-590,21,1
38,694,21,2
39,202,14,0
39,-886,13,1
39,-370,16,2
40,-648,10,0
40,-52,14,1
40,-550,16,2
41,872,16,0
41,147,17,1
41,1078,11,2
42,-229,13,0
42,408,13,1
42,99,13,2
43,-487,21,0
43,-48,13,1
43,872,15,2
44,-234,19,0
44,-741,26,1
44,358,13,2
