sensor_num,mean,std_dev,axis
0,60,16,0
0,-733,16,1
0,928,18,2
1,46,14,0
1,820,20,1
1,728,20,2
2,-142,9,0
2,426,24,1
2,41,15,2
3,430,14,0
3,-747,19,1
3,521,19,2
4,778,16,0
4,906,14,1
4,820,18,2
5,1042,23,0
5,-520,17,1
5,-186,21,2
6,531,17,0
6,-1137,17,1
6,486,19,2
7,923,18,0
7,264,10,1
7,711,13,2
8,416,12,0
8,1163,30,1
8,-85,17,2
9,195,13,0
9,-533,21,1
9,-305,12,2
10,-387,12,0
10,-407,18,1
10,184,10,2
11,-28,11,0
11,-373,17,1
11,380,17,2
12,-928,18,0
12,-270,17,1
12,-486,18,2
13,-1105,12,0
13,311,24,1
13,-127,12,2
14,-75,18,0
14,1026,12,1
14,444,14,2
15,192,24,0
15,311,15,1
15,482,17,2
16,-761,15,0
16,1062,13,1
16,360,18,2
17,400,14,0
17,887,14,1
17,316,14,2
18,379,15,0
18,11,15,1
18,525,17,2
19,-749,19,0
19,1794,17,1
19,-350,22,2
20,-131,12,0
20,-218,12,1
20,433,12,2
21,969,14,0
21,1201,16,1
21,725,15,2
22,67,16,0
22,239,18,1
22,418,17,2
23,363,21,0
23,1293,21,1
23,619,10,2
24,-253,16,0
24,305,17,1
24,421,14,2
25,-194,16,0
25,123,15,1
25,686,15,2
26,-399,18,0
26,-568,17,1
26,389,14,2
27,812,20,0
27,-329,18,1
27,821,15,2
28,469,10,0
28,462,14,1
28,598,15,2
29,-437,14,0
29,-145,14,1
29,644,12,2
30,1013,16,0
30,-605,14,1
30,59,9,2
31,-484,17,0
31,-784,20,1
31,856,14,2
32,265,19,0
32,-213,14,1
32,648,12,2
33,1454,15,0
33,-375,15,1
33,-322,16,2
34,-117,19,0
34,435,14,1
34,78,12,2
35,780,13,0
35,986,21,1
35,917,18,2
36,879,26,0
36,522,21,1
36,53,26,2
37,-1154,13,0
37,747,23,1
37,397,16,2
38,-798,22,0
38,-492,19,1
38,-102,13,2
39,1384,14,0
39,862,14,1
39,68,18,2
40,-144,14,0
40,124,9,1
40,1095,11,2
41,954,13,0
41,-584,18,1
41,618,15,2
42,64,11,0
42,-140,13,1
42,791,14,2
43,48,10,0
43,85,18,1
43,-8,13,2
44,1135,20,0
44,95,22,1
44,-141,15,2
