sensor_num,mean,std_dev,axis
0,-524,15,0
0,-501,16,1
0,478,16,2
1,-251,20,0
1,-568,16,1
1,273,18,2
2,37,21,0
2,-325,23,1
2,588,21,2
3,-172,12,0
3,25,14,1
3,-112,16,2
4,-852,18,0
4,-392,13,1
4,677,13,2
5,842,24,0
5,-373,17,1
5,-1058,24,2
6,-709,14,0
6,-654,20,1
6,1247,16,2
7,-117,17,0
7,-101,22,1
7,-298,11,2
8,1160,16,0
8,-144,15,1
8,336,13,2
9,824,20,0
9,-60,9,1
9,-261,22,2
10,310,17,0
10,275,18,1
10,121,11,2
11,-49,15,0
11,-537,10,1
11,1257,16,2
12,-502,19,0
12,-798,11,1
12,117,15,2
13,195,23,0
13,332,23,1
13,-75,17,2
14,190,20,0
14,20,19,1
14,433,22,2
15,644,9,0
15,162,21,1
15,898,17,2
16,204,16,0
16,-262,20,1
16,124,17,2
17,652,18,0
17,-195,15,1
17,687,14,2
18,540,15,0
18,781,17,1
18,827,16,2
19,-179,15,0
19,431,21,1
19,771,19,2
20,-34,15,0
20,1342,18,1
20,-74,16,2
21,-281,20,0
21,-618,13,1
21,18,13,2
22,175,13,0
22,817,22,1
22,457,18,2
23,-564,20,0
23,-445,22,1
23,736,18,2
24,240,16,0
24,-893,22,1
24,914,15,2
25,-143,18,0
25,699,14,1
25,1152,16,2
26,377,20,0
26,-154,17,1
26,127,13,2
27,497,18,0
27,-601,29,1
27,-266,12,2
28,-623,16,0
28,2,11,1
28,592,15,2
29,-1592,20,0
29,304,21,1
29,902,18,2
30,1972,19,0
30,-58,19,1
30,40,20,2
31,201,19,0
31,261,21,1
31,523,15,2
32,-12,16,0
32,1283,20,1
32,465,22,2
33,597,16,0
33,393,23,1
33,935,16,2
34,-390,18,0
34,802,16,1
34,1376,19,2
35,839,13,0
35,-820,20,1
35,379,9,2
36,703,15,0
36,324,18,1
36,376,17,2
37,-1061,19,0
37,-16,13,1
37,318,12,2
38,625,17,0
38,272,24,1
38,-124,9,2
39,662,15,0
39,331,18,1
39,-319,13,2
40,447,20,0
40,-392,19,1
40,374,17,2
41,167,21,0
41,-674,17,1
41,-324,17,2
42,889,21,0
42,-90,14,1
42,460,13,2
43,203,14,0
43,-381,17,1
43,162,13,2
44,-1204,18,0
44,189,18,1
44,207,17,2
