sensor_num,mean,std_dev,axis
0,-83,15,0
0,237,15,1
0,272,16,2
1,789,21,0
1,-1842,18,1
1,1174,17,2
2,577,21,0
2,-1048,23,1
2,503,21,2
3,259,18,0
3,-7,18,1
3,-274,17,2
4,34,14,0
4,-227,17,1
4,502,18,2
5,623,25,0
5,189,12,1
5,405,22,2
6,396,18,0
6,365,19,1
6,248,23,2
7,-293,12,0
7,527,16,1
7,154,12,2
8,484,11,0
8,-507,14,1
8,509,17,2
9,793,17,0
9,-1396,13,1
9,278,9,2
10,1000,19,0
10,462,12,1
10,325,15,2
11,867,16,0
11,-114,10,1
11,100,18,2
12,533,15,0
12,-115,20,1
12,470,12,2
13,152,20,0
13,-800,15,1
13,-88,17,2
14,588,11,0
14,-294,10,1
14,836,18,2
15,1006,15,0
15,30,15,1
15,559,19,2
16,536,15,0
16,336,16,1
16,478,18,2
17,-29,10,0
17,-74,11,1
17,286,13,2
18,951,14,0
18,48,14,1
18,97,22,2
19,-34,14,0
19,-706,15,1
19,-471,20,2
20,29,14,0
20,278,15,1
20,484,19,2
21,-1334,25,0
21,664,22,1
21,247,20,2
22,94,14,0
22,-102,19,1
22,-110,16,2
23,7,15,0
23,147,14,1
23,614,13,2
24,-61,16,0
24,-956,14,1
24,210,13,2
25,819,13,0
25,-804,15,1
25,343,17,2
26,-1,25,0
26,873,13,1
26,894,24,2
27,-43,17,0
27,-983,21,1
27,464,16,2
28,414,15,0
28,498,16,1
28,389,19,2
29,-678,16,0
29,1110,11,1
29,-33,14,2
30,-300,19,0
30,-148,12,1
30,509,13,2
31,-514,16,0
31,-298,21,1
31,86,12,2
32,221,18,0
32,-218,20,1
32,333,19,2
33,1002,12,0
33,-630,9,1
33,-5,15,2
34,-94,25,0
34,119,19,1
34,-388,15,2
35,-730,14,0
35,-306,19,1
35,-162,17,2
36,-28,12,0
36,1716,11,1
36,268,11,2
37,151,18,0
37,28,14,1
37,-360,14,2
38,66,17,0
38,-95,27,1
38,530,17,2
39,-443,15,0
39,-967,13,1
39,1149,18,2
40,728,12,0
40,-437,8,1
40,390,12,2
41,203,20,0
41,-138,18,1
41,599,14,2
42,307,25,0
42,-721,17,1
42,-42,10,2
43,101,25,0
43,-968,21,1
43,-374,15,2
44,-267,17,0
44,-841,13,1
44,-370,16,2
