sensor_num,mean,std_dev,axis
0,895,20,0
0,-358,17,1
0,949,15,2
1,151,9,0
1,406,10,1
1,-214,13,2
2,-1384,11,0
2,201,26,1
2,370,16,2
3,-577,15,0
3,364,19,1
3,-390,13,2
4,-183,13,0
4,381,20,1
4,-53,8,2
5,-275,12,0
5,427,14,1
5,384,11,2
6,-170,10,0
6,235,15,1
6,51,22,2
7,265,13,0
7,-285,12,1
7,127,19,2
8,397,14,0
8,177,18,1
8,157,17,2
9,-157,16,0
9,-111,17,1
9,284,16,2
10,586,21,0
10,-187,19,1
10,660,9,2
11,523,6,0
11,-303,21,1
11,519,21,2
12,1156,19,0
12,412,23,1
12,603,12,2
13,630,13,0
13,-1210,15,1
13,170,14,2
14,-427,17,0
14,38,19,1
14,782,16,2
15,-389,23,0
15,-139,21,1
15,1041,15,2
16,-84,13,0
16,288,22,1
16,130,20,2
17,460,14,0
17,-692,10,1
17,386,14,2
18,64,9,0
18,-444,10,1
18,109,12,2
19,335,9,0
19,-438,17,1
19,14,15,2
20,-853,12,0
20,358,15,1
20,564,15,2
21,-453,16,0
21,1118,17,1
21,911,15,2
22,-278,19,0
22,-1204,12,1
22,28,16,2
23,-623,9,0
23,-673,17,1
23,552,13,2
24,216,18,0
24,309,21,1
24,58,18,2
25,373,17,0
25,-369,12,1
25,392,13,2
26,49,16,0
26,179,21,1
26,503,17,2
27,-762,16,0
27,56,16,1
27,371,21,2
28,409,16,0
28,59,13,1
28,904,10,2
29,-202,14,0
29,-98,11,1
29,251,6,2
30,-326,15,0
30,120,25,1
30,671,11,2
31,205,10,0
31,-406,16,1
31,164,19,2
32,-277,20,0
32,11,20,1
32,148,13,2
33,-216,17,0
33,-1074,12,1
33,482,9,2
34,296,17,0
34,-534,6,1
34,750,15,2
35,-187,20,0
35,963,15,1
35,347,16,2
36,-340,11,0
36,542,17,1
36,-124,22,2
37,-194,16,0
37,-217,19,1
37,-351,10,2
38,-87,13,0
38,158,13,1
38,221,14,2
39,-316,15,0
39,-82,16,1
39,283,18,2
40,489,15,0
40,-127,21,1
40,539,18,2
41,447,18,0
41,828,19,1
41,661,11,2
42,-635,23,0
42,749,15,1
42,507,15,2
43,-148,16,0
43,-960,19,1
43,535,22,2
44,-212,19,0
44,1226,17,1
44,-247,15,2
