sensor_num,mean,std_dev,axis
0,12,11,0
0,190,21,1
0,220,18,2
1,760,16,0
1,809,19,1
1,118,15,2
2,117,18,0
2,393,19,1
2,-403,16,2
3,-20,14,0
3,332,16,1
3,1144,17,2
4,153,13,0
4,-526,20,1
4,-45,17,2
5,12,16,0
5,-828,15,1
5,-264,17,2
6,752,15,0
6,256,11,1
6,61,22,2
7,837,15,0
7,-1150,20,1
7,53,20,2
8,135,15,0
8,-573,17,1
8,-27,16,2
9,-144,16,0
9,679,12,1
9,462,18,2
10,136,12,0
10,32,21,1
10,734,14,2
11,-551,20,0
11,-1122,10,1
11,471,8,2
12,188,22,0
12,1101,20,1
12,63,17,2
13,-87,22,0
13,-556,15,1
13,614,22,2
14,897,17,0
14,-1032,10,1
14,-370,20,2
15,213,15,0
15,-405,15,1
15,432,14,2
16,-502,10,0
16,-470,9,1
16,862,12,2
17,-191,24,0
17,-599,17,1
17,-86,14,2
18,1302,14,0
18,45,28,1
18,386,13,2
19,182,23,0
19,262,20,1
19,791,8,2
20,814,15,0
20,-111,20,1
20,128,19,2
21,-333,17,0
21,-462,16,1
21,237,20,2
22,334,18,0
22,292,22,1
22,583,14,2
23,579,14,0
23,-862,15,1
23,451,19,2
24,-355,15,0
24,-97,23,1
24,877,15,2
25,-23,18,0
25,3,20,1
25,-168,15,2
26,-499,13,0
26,287,13,1
26,346,20,2
27,15,15,0
27,133,19,1
27,-529,18,2
28,-365,26,0
28,771,10,1
28,426,15,2
29,1366,14,0
29,-972,22,1
29,271,18,2
30,-242,16,0
30,-751,21,1
30,647,10,2
31,-90,17,0
31,-213,19,1
31,609,17,2
32,261,10,0
32,-710,21,1
32,-557,8,2
33,69,14,0
33,-21,11,1
33,415,19,2
34,336,19,0
34,158,13,1
34,464,14,2
35,-158,23,0
35,1151,11,1
35,235,15,2
36,-242,19,0
36,-757,18,1
36,-37,23,2
37,-246,17,0
37,-34,24,1
37,518,19,2
38,-220,15,0
38,1072,17,1
38,296,23,2
39,-273,14,0
39,-649,23,1
39,664,17,2
40,-554,13,0
40,497,21,1
40,181,14,2
41,476,17,0
41,674,14,1
41,318,12,2
42,688,11,0
42,716,21,1
42,449,6,2
43,32,21,0
43,128,12,1
43,463,20,2
44,265,13,0
44,-439,18,1
44,369,15,2
