sensor_num,mean,std_dev,axis
0,-5,16,0
0,658,19,1
0,201,13,2
1,-56,14,0
1,-221,18,1
1,110,18,2
2,-782,13,0
2,215,16,1
2,476,15,2
3,223,12,0
3,571,14,1
3,553,11,2
4,-664,12,0
4,64,14,1
4,722,18,2
5,992,19,0
5,1304,12,1
5,416,13,2
6,350,16,0
6,461,18,1
6,383,15,2
7,-464,18,0
7,-516,10,1
7,45,19,2
8,514,23,0
8,-414,19,1
8,468,17,2
9,-27,12,0
9,442,13,1
9,604,16,2
10,748,17,0
10,495,14,1
10,212,14,2
11,1616,7,0
11,1122,24,1
11,300,17,2
12,-684,12,0
12,258,13,1
12,202,14,2
13,340,18,0
13,-188,19,1
13,366,15,2
14,574,15,0
14,-153,14,1
14,-242,17,2
15,956,14,0
15,84,18,1
15,831,24,2
16,1118,18,0
16,-142,17,1
16,466,14,2
17,-185,18,0
17,167,16,1
17,83,19,2
18,284,24,0
18,-627,12,1
18,604,15,2
19,859,18,0
19,-466,12,1
19,771,21,2
20,55,12,0
20,613,13,1
20,1007,18,2
21,1119,22,0
21,-819,16,1
21,-178,15,2
22,95,18,0
22,-47,23,1
22,44,10,2
23,428,13,0
23,104,17,1
23,314,16,2
24,52,11,0
24,558,20,1
24,-193,15,2
25,147,19,0
25,144,22,1
25,161,15,2
26,1152,24,0
26,468,10,1
26,662,21,2
27,-246,19,0
27,-144,14,1
27,-91,6,2
28,-1560,14,0
28,75,16,1
28,708,11,2
29,410,14,0
29,-295,18,1
29,361,21,2
30,106,19,0
30,-49,16,1
30,-231,11,2
31,-280,24,0
31,679,15,1
31,59,18,2
32,-1115,14,0
32,-471,16,1
32,219,20,2
33,992,16,0
33,-408,23,1
33,914,15,2
34,361,24,0
34,918,15,1
34,-526,19,2
35,177,17,0
35,25,15,1
35,319,16,2
36,939,13,0
36,405,18,1
36,7,16,2
37,145,10,0
37,245,16,1
37,827,14,2
38,-311,10,0
38,1192,14,1
38,752,12,2
39,-72,17,0
39,464,20,1
39,403,20,2
40,-219,15,0
40,739,16,1
40,916,12,2
41,-434,17,0
41,-970,18,1
41,717,16,2
42,357,16,0
42,1243,19,1
42,600,17,2
43,155,16,0
43,773,10,1
43,354,20,2
44,63,20,0
44,-196,17,1
44,345,14,2
