sensor_num,mean,std_dev,axis
0,734,20,0
0,2382,24,1
0,310,18,2
1,-176,22,0
1,-23,17,1
1,115,16,2
2,838,18,0
2,-456,20,1
2,15,22,2
3,328,16,0
3,844,16,1
3,647,17,2
4,28,9,0
4,607,13,1
4,279,14,2
5,406,16,0
5,147,15,1
5,-155,12,2
6,29,20,0
6,-233,18,1
6,368,12,2
7,892,20,0
7,801,18,1
7,794,12,2
8,405,20,0
8,395,22,1
8,613,15,2
9,106,23,0
9,121,17,1
9,174,14,2
10,595,22,0
10,741,16,1
10,-151,10,2
11,-117,9,0
11,-361,17,1
11,160,12,2
12,-143,14,0
12,296,20,1
12,252,14,2
13,59,24,0
13,935,22,1
13,47,21,2
14,-555,13,0
14,766,23,1
14,212,11,2
15,738,19,0
15,434,16,1
15,338,15,2
16,-239,19,0
16,298,13,1
16,579,11,2
17,-531,13,0
17,1363,13,1
17,558,16,2
18,309,20,0
18,457,16,1
18,-345,15,2
19,397,22,0
19,1709,23,1
19,416,13,2
20,-657,24,0
20,419,14,1
20,372,23,2
21,-1026,18,0
21,1709,22,1
21,876,9,2
22,-367,13,0
22,121,16,1
22,-22,15,2
23,628,13,0
23,177,20,1
23,326,10,2
24,270,13,0
24,98,16,1
24,424,18,2
25,338,16,0
25,189,18,1
25,524,12,2
26,359,15,0
26,-292,16,1
26,-450,13,2
27,961,17,0
27,511,14,1
27,154,17,2
28,-173,11,0
28,-204,17,1
28,552,14,2
29,3,17,0
29,1063,16,1
29,574,14,2
30,815,19,0
30,1753,20,1
30,631,22,2
31,730,14,0
31,-97,12,1
31,369,18,2
32,457,12,0
32,493,25,1
32,-178,10,2
33,484,14,0
33,711,25,1
33,513,23,2
34,1160,14,0
34,-860,11,1
34,852,12,2
35,-434,16,0
35,-927,16,1
35,-375,25,2
36,244,15,0
36,1036,19,1
36,427,27,2
37,-121,17,0
37,379,21,1
37,212,21,2
38,667,19,0
38,-13,14,1
38,372,14,2
39,693,11,0
39,524,9,1
39,1267,16,2
40,695,14,0
40,-127,18,1
40,-381,17,2
41,13,17,0
41,-326,22,1
41,675,16,2
42,1505,20,0
42,-897,14,1
42,-157,13,2
43,-833,12,0
43,-238,15,1
43,194,16,2
44,-506,17,0
44,-127,24,1
44,27,13,2
