sensor_num,mean,std_dev,axis
0,75,10,0
0,-557,16,1
0,1020,10,2
1,810,20,0
1,896,14,1
1,464,15,2
2,63,17,0
2,657,20,1
2,346,10,2
3,554,19,0
3,467,26,1
3,493,13,2
4,304,15,0
4,912,21,1
4,33,24,2
5,1237,16,0
5,159,13,1
5,597,13,2
6,649,16,0
6,83,24,1
6,50,15,2
7,-1056,20,0
7,847,20,1
7,-2,14,2
8,288,10,0
8,300,7,1
8,682,19,2
9,425,14,0
9,-279,16,1
9,1006,14,2
10,-235,25,0
10,1015,25,1
10,-300,13,2
11,-250,14,0
11,1060,17,1
11,334,15,2
12,444,16,0
12,-113,15,1
12,1041,15,2
13,-528,13,0
13,492,15,1
13,-300,14,2
14,826,15,0
14,-608,25,1
14,-109,15,2
15,-207,17,0
15,282,20,1
15,349,20,2
16,-606,9,0
16,500,19,1
16,-780,15,2
17,37,11,0
17,-784,18,1
17,703,15,2
18,722,19,0
18,48,23,1
18,441,15,2
19,-467,16,0
19,408,23,1
19,-61,17,2
20,1458,14,0
20,-63,16,1
20,878,17,2
21,-533,8,0
21,11,22,1
21,954,14,2
22,1009,18,0
22,75,17,1
22,471,18,2
23,-7,17,0
23,-160,19,1
23,463,9,2
24,-79,12,0
24,952,11,1
24,16,15,2
25,-202,14,0
25,967,21,1
25,1176,14,2
26,405,18,0
26,581,16,1
26,-173,14,2
27,858,18,0
27,540,17,1
27,-335,14,2
28,1873,12,0
28,387,18,1
28,532,13,2
29,719,17,0
29,324,15,1
29,-123,17,2
30,43,18,0
30,153,18,1
30,-268,14,2
31,-248,13,0
31,629,22,1
31,-65,13,2
32,-315,7,0
32,265,15,1
32,951,14,2
33,244,18,0
33,423,17,1
33,871,11,2
34,97,17,0
34,-4,28,1
34,-256,15,2
35,967,14,0
35,603,17,1
35,363,14,2
36,-255,15,0
36,421,26,1
36,-201,19,2
37,566,19,0
37,-754,24,1
37,172,15,2
38,283,18,0
38,-505,19,1
38,426,14,2
39,-32,20,0
39,563,10,1
39,928,10,2
40,1461,18,0
40,-695,12,1
40,-211,11,2
41,432,19,0
41,0,16,1
41,131,12,2
42,-351,14,0
42,-620,19,1
42,729,14,2
43,479,11,0
43,1027,21,1
43,139,13,2
44,-398,21,0
44,85,18,1
44,834,17,2
