sensor_num,mean,std_dev,axis
0,931,15,0
0,208,12,1
0,329,14,2
1,-417,21,0
1,-1476,10,1
1,-287,19,2
2,290,17,0
2,-122,19,1
2,-31,19,2
3,489,16,0
3,88,15,1
3,453,22,2
4,235,17,0
4,730,15,1
4,478,23,2
5,19,20,0
5,-82,13,1
5,447,22,2
6,-392,11,0
6,-693,16,1
6,-136,13,2
7,-190,17,0
7,233,13,1
7,-205,17,2
8,218,20,0
8,1148,18,1
8,639,9,2
9,79,20,0
9,561,21,1
9,640,11,2
10,379,14,0
10,-940,14,1
10,-2,20,2
11,-189,13,0
11,-879,14,1
11,293,14,2
12,-425,15,0
12,522,18,1
12,-86,15,2
13,28,17,0
13,1007,23,1
13,525,16,2
14,1610,12,0
14,338,10,1
14,772,18,2
15,-626,22,0
15,135,18,1
15,618,6,2
16,62,22,0
16,-722,17,1
16,218,17,2
17,-2053,19,0
17,-699,16,1
17,762,17,2
18,777,23,0
18,-946,13,1
18,456,17,2
19,379,24,0
19,-776,18,1
19,-731,13,2
20,410,15,0
20,-355,14,1
20,674,9,2
21,614,14,0
21,1433,15,1
21,-11,16,2
22,-119,16,0
22,-622,12,1
22,353,16,2
23,602,16,0
23,-1522,17,1
23,964,19,2
24,-30,16,0
24,-161,16,1
24,31,18,2
25,988,18,0
25,-684,16,1
25,252,10,2
26,-408,19,0
26,1057,18,1
26,-95,17,2
27,905,26,0
27,370,14,1
27,596,19,2
28,-342,15,0
28,-390,16,1
28,740,18,2
29,-187,12,0
29,-282,25,1
29,417,10,2
30,-161,14,0
30,-51,29,1
30,481,26,2
31,841,22,0
31,394,15,1
31,625,18,2
32,123,10,0
32,365,20,1
32,711,10,2
33,-184,20,0
33,-12,16,1
33,357,18,2
34,-235,19,0
34,879,15,1
34,-151,14,2
35,-1364,18,0
35,-460,15,1
35,10,16,2
36,-168,15,0
36,741,17,1
36,63,16,2
37,-67,16,0
37,805,17,1
37,25,13,2
38,716,15,0
38,38,25,1
38,169,15,2
39,-730,17,0
39,-324,21,1
39,304,16,2
40,-145,18,0
40,1502,17,1
40,-58,18,2
41,-1442,18,0
41,-786,16,1
41,777,9,2
42,32,19,0
42,675,16,1
42,1235,13,2
43,-262,20,0
43,-63,15,1
43,-170,15,2
44,115,16,0
44,-19,15,1
44,-354,16,2
