sensor_num,mean,std_dev,axis
0,-628,17,0
0,317,16,1
0,290,17,2
1,55,14,0
1,-385,15,1
1,455,16,2
2,-97,21,0
2,566,20,1
2,657,19,2
3,87,15,0
3,787,14,1
3,-7,17,2
4,-799,18,0
4,1441,12,1
4,55,19,2
5,-117,18,0
5,222,20,1
5,424,16,2
6,454,16,0
6,-427,17,1
6,392,19,2
7,-61,14,0
7,-834,12,1
7,399,12,2
8,2112,18,0
8,1168,11,1
8,-183,20,2
9,-820,22,0
9,113,23,1
9,1108,15,2
10,-305,21,0
10,-104,22,1
10,403,12,2
11,-461,25,0
11,1032,15,1
11,241,19,2
12,414,19,0
12,35,21,1
12,66,14,2
13,750,21,0
13,-30,16,1
13,-287,16,2
14,645,13,0
14,96,22,1
14,299,14,2
15,-722,14,0
15,-669,14,1
15,460,21,2
16,427,15,0
16,-515,23,1
16,1043,13,2
17,321,22,0
17,472,15,1
17,4,10,2
18,32,34,0
18,-237,16,1
18,163,21,2
19,208,21,0
19,1085,19,1
19,-186,15,2
20,-220,18,0
20,-145,17,1
20,531,14,2
21,386,21,0
21,184,25,1
21,37,14,2
22,346,13,0
22,-83,20,1
22,-2,9,2
23,-55,11,0
23,-101,21,1
23,-24,15,2
24,-29,11,0
24,-345,12,1
24,87,14,2
25,104,17,0
25,-957,19,1
25,698,24,2
26,1404,11,0
26,502,19,1
26,199,14,2
27,311,10,0
27,356,10,1
27,422,21,2
28,560,14,0
28,-1122,18,1
28,-362,19,2
29,-482,16,0
29,906,20,1
29,42,13,2
30,776,18,0
30,390,8,1
30,168,12,2
31,521,19,0
31,386,17,1
31,-263,12,2
32,-109,19,0
32,-71,13,1
32,352,14,2
33,535,18,0
33,429,12,1
33,-18,16,2
34,307,13,0
34,-218,17,1
34,27,13,2
35,643,17,0
35,-19,12,1
35,450,19,2
36,-577,17,0
36,10,16,1
36,-340,23,2
37,1359,19,0
37,-327,18,1
37,13,11,2
38,110,21,0
38,853,17,1
38,17,19,2
39,715,24,0
39,864,12,1
39,-601,18,2
40,-363,18,0
40,84,17,1
40,367,14,2
41,1020,12,0
41,587,24,1
41,87,20,2
42,273,19,0
42,-483,25,1
42,934,20,2
43,476,19,0
43,460,18,1
43,1193,11,2
44,196,11,0
44,243,14,1
44,506,19,2
