sensor_num,mean,std_dev,axis
0,670,14,0
0,-377,23,1
0,-213,16,2
1,69,27,0
1,295,13,1
1,496,9,2
2,-115,21,0
2,1313,22,1
2,695,12,2
3,1719,16,0
3,302,18,1
3,311,17,2
4,686,26,0
4,610,21,1
4,778,19,2
5,903,21,0
5,1330,16,1
5,268,14,2
6,602,15,0
6,-298,17,1
6,871,13,2
7,1875,27,0
7,1409,15,1
7,286,19,2
8,1539,14,0
8,918,17,1
8,-287,21,2
9,734,12,0
9,569,21,1
9,260,15,2
10,1132,18,0
10,733,17,1
10,16,11,2
11,129,11,0
11,-176,19,1
11,58,15,2
12,-47,18,0
12,633,19,1
12,640,13,2
13,495,17,0
13,-57,23,1
13,938,15,2
14,-631,19,0
14,39,15,1
14,443,12,2
15,-495,5,0
15,-115,18,1
15,169,10,2
16,161,21,0
16,-413,13,1
16,9,10,2
17,367,12,0
17,-1008,19,1
17,336,20,2
18,-44,14,0
18,-173,11,1
18,289,17,2
19,1476,11,0
19,618,14,1
19,193,13,2
20,875,16,0
20,-30,16,1
20,179,13,2
21,422,24,0
21,-46,17,1
21,1689,17,2
22,638,18,0
22,-316,21,1
22,247,21,2
23,-331,11,0
23,471,7,1
23,202,21,2
24,1037,24,0
24,-138,10,1
24,558,18,2
25,1309,10,0
25,68,27,1
25,-507,9,2
26,427,13,0
26,617,14,1
26,304,8,2
27,382,23,0
27,310,19,1
27,302,22,2
28,1044,18,0
28,416,19,1
28,-717,15,2
29,802,15,0
29,-742,13,1
29,496,22,2
30,327,14,0
30,-273,7,1
30,112,11,2
31,872,20,0
31,574,14,1
31,314,13,2
32,-315,21,0
32,1093,16,1
32,527,11,2
33,1086,18,0
33,111,15,1
33,17,17,2
34,600,17,0
34,176,13,1
34,-307,21,2
35,1082,13,0
35,464,17,1
35,613,17,2
36,185,17,0
36,106,18,1
36,548,20,2
37,1338,18,0
37,-896,25,1
37,1101,15,2
38,769,21,0
38,81,17,1
38,480,19,2
39,99,21,0
39,56,15,1
39,-179,15,2
40,522,22,0
40,542,17,1
40,368,14,2
41,1359,17,0
41,650,21,1
41,173,18,2
42,-1206,24,0
42,776,18,1
42,-121,15,2
43,223,13,0
43,-438,16,1
43,657,17,2
44,628,23,0
44,299,18,1
44,613,11,2
