sensor_num,mean,std_dev,axis
0,1252,15,0
0,221,25,1
0,395,12,2
1,-113,22,0
1,-1473,14,1
1,-209,17,2
2,588,19,0
2,-128,16,1
2,29,16,2
3,749,18,0
3,102,21,1
3,527,15,2
4,506,8,0
4,713,12,1
4,557,14,2
5,279,18,0
5,-76,21,1
5,522,19,2
6,-148,11,0
6,-692,11,1
6,-54,14,2
7,62,24,0
7,231,19,1
7,-116,17,2
8,458,12,0
8,1138,20,1
8,732,15,2
9,314,16,0
9,570,20,1
9,718,13,2
10,614,18,0
10,-934,15,1
10,78,14,2
11,28,18,0
11,-874,15,1
11,382,10,2
12,-181,12,0
12,539,13,1
12,-9,14,2
13,304,14,0
13,1014,17,1
13,612,17,2
14,1843,12,0
14,336,19,1
14,859,20,2
15,-385,10,0
15,141,17,1
15,711,24,2
16,299,17,0
16,-722,15,1
16,314,21,2
17,-1807,13,0
17,-691,20,1
17,840,14,2
18,1021,18,0
18,-945,22,1
18,537,15,2
19,607,15,0
19,-787,15,1
19,-646,13,2
20,632,11,0
20,-364,19,1
20,773,16,2
21,851,13,0
21,1441,13,1
21,75,18,2
22,102,12,0
22,-606,17,1
22,431,19,2
23,821,7,0
23,-1519,13,1
23,1048,12,2
24,205,17,0
24,-149,13,1
24,120,16,2
25,1215,16,0
25,-671,12,1
25,354,18,2
26,-184,8,0
26,1058,15,1
26,-6,19,2
27,1139,20,0
27,369,19,1
27,674,19,2
28,-115,14,0
28,-394,20,1
28,832,11,2
29,30,17,0
29,-288,13,1
29,491,13,2
30,48,13,0
30,-61,13,1
30,565,13,2
31,1063,15,0
31,399,18,1
31,689,17,2
32,348,15,0
32,353,16,1
32,782,16,2
33,32,18,0
33,-10,13,1
33,437,26,2
34,9,21,0
34,891,18,1
34,-52,17,2
35,-1118,13,0
35,-472,18,1
35,83,18,2
36,51,23,0
36,745,20,1
36,130,23,2
37,173,19,0
37,813,14,1
37,100,13,2
38,954,12,0
38,49,13,1
38,241,17,2
39,-490,15,0
39,-321,16,1
39,374,13,2
40,96,26,0
40,1513,22,1
40,18,9,2
41,-1198,14,0
41,-791,12,1
41,831,23,2
42,277,21,0
42,688,19,1
42,1285,16,2
43,-5,15,0
43,-57,15,1
43,-123,14,2
44,403,14,0
44,-30,18,1
44,-304,12,2
