sensor_num,mean,std_dev,axis
0,-820,23,0
0,307,24,1
0,447,17,2
1,-118,15,0
1,-385,12,1
1,612,19,2
2,-285,15,0
2,563,11,1
2,793,17,2
3,-106,19,0
3,787,15,1
3,136,22,2
4,-1008,19,0
4,1441,18,1
4,191,19,2
5,-317,13,0
5,237,17,1
5,557,18,2
6,285,16,0
6,-448,19,1
6,550,12,2
7,-249,21,0
7,-843,18,1
7,519,23,2
8,1912,18,0
8,1171,21,1
8,-52,18,2
9,-1032,18,0
9,108,20,1
9,1233,23,2
10,-481,20,0
10,-108,12,1
10,536,16,2
11,-663,17,0
11,1032,13,1
11,372,13,2
12,222,14,0
12,28,19,1
12,190,20,2
13,550,17,0
13,-21,17,1
13,-168,12,2
14,462,15,0
14,94,13,1
14,422,11,2
15,-910,16,0
15,-667,19,1
15,590,10,2
16,263,8,0
16,-519,19,1
16,1177,15,2
17,125,15,0
17,472,14,1
17,147,11,2
18,-159,26,0
18,-242,13,1
18,279,18,2
19,21,20,0
19,1087,19,1
19,-68,18,2
20,-415,19,0
20,-167,17,1
20,649,12,2
21,203,11,0
21,176,13,1
21,171,12,2
22,169,15,0
22,-81,10,1
22,106,11,2
23,-229,13,0
23,-107,17,1
23,93,16,2
24,-215,14,0
24,-347,15,1
24,209,16,2
25,-66,17,0
25,-965,18,1
25,817,15,2
26,1213,18,0
26,485,13,1
26,328,16,2
27,122,24,0
27,339,13,1
27,547,17,2
28,386,13,0
28,-1125,15,1
28,-249,15,2
29,-659,21,0
29,895,16,1
29,150,22,2
30,603,11,0
30,385,16,1
30,314,19,2
31,332,16,0
31,386,13,1
31,-135,15,2
32,-259,10,0
32,-60,17,1
32,462,18,2
33,367,9,0
33,425,19,1
33,85,13,2
34,125,19,0
34,-216,14,1
34,153,21,2
35,471,23,0
35,-38,9,1
35,559,16,2
36,-732,11,0
36,29,15,1
36,-226,10,2
37,1198,20,0
37,-341,16,1
37,144,15,2
38,-69,19,0
38,830,22,1
38,149,15,2
39,552,10,0
39,838,25,1
39,-471,17,2
40,-539,17,0
40,88,22,1
40,496,21,2
41,864,17,0
41,587,11,1
41,220,15,2
42,129,15,0
42,-485,13,1
42,1056,15,2
43,340,14,0
43,452,8,1
43,1328,15,2
44,69,12,0
44,240,14,1
44,618,16,2
