sensor_num,mean,std_dev,axis
0,871,20,0
0,-830,26,1
0,761,15,2
1,982,24,0
1,-589,20,1
1,238,17,2
2,1156,14,0
2,-82,18,1
2,554,16,2
3,-1349,19,0
3,357,12,1
3,237,12,2
4,1399,20,0
4,312,16,1
4,1154,12,2
5,-144,16,0
5,268,17,1
5,355,20,2
6,-815,16,0
6,85,20,1
6,-329,10,2
7,31,21,0
7,1014,11,1
7,135,16,2
8,170,14,0
8,193,15,1
8,-61,24,2
9,357,22,0
9,298,21,1
9,987,15,2
10,-488,13,0
10,945,14,1
10,325,12,2
11,681,15,0
11,542,17,1
11,684,15,2
12,181,14,0
12,747,17,1
12,-432,14,2
13,338,16,0
13,314,12,1
13,-325,12,2
14,394,12,0
14,1604,16,1
14,188,16,2
15,823,15,0
15,65,14,1
15,138,21,2
16,163,20,0
16,35,14,1
16,978,14,2
17,1213,18,0
17,379,20,1
17,411,22,2
18,-96,15,0
18,288,19,1
18,236,19,2
19,724,16,0
19,180,18,1
19,931,17,2
20,-530,18,0
20,931,13,1
20,717,11,2
21,1331,17,0
21,681,11,1
21,473,22,2
22,256,16,0
22,1073,17,1
22,191,14,2
23,593,11,0
23,1020,18,1
23,-139,11,2
24,491,25,0
24,534,13,1
24,575,9,2
25,-229,20,0
25,-131,14,1
25,171,16,2
26,817,24,0
26,92,17,1
26,-240,13,2
27,334,20,0
27,638,24,1
27,-461,17,2
28,-117,14,0
28,-166,13,1
28,305,13,2
29,824,19,0
29,482,21,1
29,159,13,2
30,557,10,0
30,221,13,1
30,845,18,2
31,1304,19,0
31,225,24,1
31,359,19,2
32,613,18,0
32,1154,15,1
32,446,12,2
33,1376,15,0
33,-243,16,1
33,245,17,2
34,-270,17,0
34,130,13,1
34,309,12,2
35,-81,21,0
35,806,14,1
35,-73,19,2
36,19,13,0
36,-906,17,1
36,200,19,2
37,504,15,0
37,-1191,16,1
37,427,12,2
38,611,12,0
38,102,17,1
38,89,21,2
39,1364,21,0
39,-121,18,1
39,640,22,2
40,63,14,0
40,64,10,1
40,762,11,2
41,780,22,0
41,86,17,1
41,429,15,2
42,312,16,0
42,-610,20,1
42,501,11,2
43,503,18,0
43,124,18,1
43,128,15,2
44,388,16,0
44,-602,11,1
44,356,20,2
