sensor_num,mean,std_dev,axis
0,982,15,0
0,-848,13,1
0,592,17,2
1,1021,13,0
1,-587,25,1
1,70,18,2
2,1163,14,0
2,-95,19,1
2,402,23,2
3,-1351,19,0
3,367,14,1
3,101,18,2
4,1386,14,0
4,303,18,1
4,1028,19,2
5,-184,19,0
5,273,21,1
5,228,12,2
6,-865,13,0
6,86,15,1
6,-473,19,2
7,-15,22,0
7,1019,14,1
7,-6,16,2
8,116,13,0
8,201,19,1
8,-204,11,2
9,307,12,0
9,295,19,1
9,858,17,2
10,-547,14,0
10,961,17,1
10,201,16,2
11,631,10,0
11,549,17,1
11,544,9,2
12,126,20,0
12,745,18,1
12,-558,21,2
13,278,17,0
13,312,22,1
13,-472,18,2
14,331,14,0
14,1598,15,1
14,49,21,2
15,758,11,0
15,74,19,1
15,2,9,2
16,75,18,0
16,39,15,1
16,857,12,2
17,1132,16,0
17,378,13,1
17,277,17,2
18,-156,10,0
18,275,15,1
18,110,24,2
19,668,20,0
19,190,14,1
19,796,11,2
20,-594,15,0
20,927,17,1
20,560,13,2
21,1250,18,0
21,691,8,1
21,361,15,2
22,173,20,0
22,1077,16,1
22,58,20,2
23,524,12,0
23,1019,17,1
23,-284,10,2
24,416,20,0
24,514,14,1
24,431,10,2
25,-307,13,0
25,-127,16,1
25,35,16,2
26,722,25,0
26,80,16,1
26,-369,18,2
27,250,12,0
27,638,11,1
27,-609,21,2
28,-198,12,0
28,-154,15,1
28,172,19,2
29,741,10,0
29,484,12,1
29,7,16,2
30,481,19,0
30,238,11,1
30,710,18,2
31,1224,16,0
31,218,14,1
31,216,13,2
32,536,8,0
32,1153,18,1
32,299,12,2
33,1299,11,0
33,-258,21,1
33,95,12,2
34,-351,19,0
34,118,19,1
34,166,23,2
35,-142,11,0
35,815,15,1
35,-219,15,2
36,-64,16,0
36,-902,17,1
36,41,14,2
37,416,15,0
37,-1190,11,1
37,283,19,2
38,552,15,0
38,102,22,1
38,-44,12,2
39,1294,15,0
39,-105,16,1
39,500,15,2
40,3,19,0
40,66,15,1
40,614,15,2
41,716,23,0
41,108,15,1
41,279,10,2
42,249,9,0
42,-617,17,1
42,339,12,2
43,439,17,0
43,128,20,1
43,-24,22,2
44,338,9,0
44,-597,17,1
44,199,17,2
