sensor_num,mean,std_dev,axis
0,-672,16,0
0,-197,14,1
0,546,9,2
1,793,12,0
1,-105,10,1
1,486,15,2
2,285,20,0
2,178,21,1
2,337,15,2
3,-212,21,0
3,327,13,1
3,725,18,2
4,-531,15,0
4,-129,18,1
4,626,12,2
5,46,23,0
5,-1048,11,1
5,382,26,2
6,1122,20,0
6,-468,11,1
6,37,7,2
7,297,26,0
7,-853,16,1
7,283,16,2
8,62,14,0
8,-933,16,1
8,235,12,2
9,670,14,0
9,-7,13,1
9,-480,16,2
10,1417,15,0
10,-285,17,1
10,-3,23,2
11,589,26,0
11,655,12,1
11,1045,17,2
12,884,18,0
12,-5,19,1
12,454,16,2
13,-150,19,0
13,315,12,1
13,828,18,2
14,614,15,0
14,-116,17,1
14,214,22,2
15,-174,18,0
15,-383,22,1
15,953,18,2
16,572,15,0
16,1011,23,1
16,-105,19,2
17,1135,18,0
17,-559,13,1
17,454,13,2
18,1331,17,0
18,-109,22,1
18,73,21,2
19,-140,19,0
19,83,21,1
19,655,13,2
20,202,18,0
20,37,12,1
20,520,16,2
21,-583,14,0
21,1183,23,1
21,302,22,2
22,246,20,0
22,686,16,1
22,263,8,2
23,540,8,0
23,502,15,1
23,171,9,2
24,74,16,0
24,810,12,1
24,-251,12,2
25,-319,18,0
25,-814,14,1
25,738,23,2
26,63,14,0
26,291,15,1
26,449,17,2
27,361,20,0
27,304,23,1
27,-60,12,2
28,127,12,0
28,-837,16,1
28,1102,8,2
29,-205,18,0
29,-1033,15,1
29,54,17,2
30,454,13,0
30,936,12,1
30,221,14,2
31,434,20,0
31,-155,22,1
31,256,15,2
32,18,14,0
32,-598,19,1
32,14,21,2
33,612,19,0
33,530,12,1
33,351,14,2
34,-1389,13,0
34,-991,11,1
34,-19,17,2
35,685,15,0
35,-1413,17,1
35,143,15,2
36,-552,23,0
36,-1098,16,1
36,2,15,2
37,-1019,22,0
37,700,14,1
37,1428,20,2
38,-58,18,0
38,126,15,1
38,534,18,2
39,316,27,0
39,-895,21,1
39,53,16,2
40,423,13,0
40,-713,13,1
40,357,24,2
41,347,21,0
41,-652,18,1
41,-503,19,2
42,-861,20,0
42,-289,11,1
42,-74,15,2
43,918,18,0
43,315,23,1
43,26,15,2
44,-288,20,0
44,-1221,23,1
44,225,13,2
