sensor_num,mean,std_dev,axis
0,215,12,0
0,-540,14,1
0,626,12,2
1,907,13,0
1,325,11,1
1,-485,12,2
2,123,15,0
2,1111,20,1
2,1173,17,2
3,734,20,0
3,963,17,1
3,-54,16,2
4,-125,17,0
4,468,16,1
4,585,17,2
5,41,26,0
5,905,18,1
5,377,14,2
6,889,14,0
6,571,16,1
6,906,12,2
7,-301,10,0
7,1187,13,1
7,662,15,2
8,170,9,0
8,-255,17,1
8,969,20,2
9,312,18,0
9,-434,19,1
9,91,10,2
10,-555,13,0
10,486,12,1
10,517,13,2
11,-834,12,0
11,282,22,1
11,1559,24,2
12,287,14,0
12,544,19,1
12,378,14,2
13,913,21,0
13,763,23,1
13,-216,16,2
14,388,10,0
14,880,18,1
14,654,17,2
15,-140,14,0
15,-152,12,1
15,112,15,2
16,347,16,0
16,-164,13,1
16,-53,11,2
17,-427,18,0
17,211,15,1
17,213,19,2
18,-653,14,0
18,-131,15,1
18,741,21,2
19,7,10,0
19,-107,19,1
19,33,18,2
20,27,24,0
20,420,20,1
20,-24,27,2
21,376,22,0
21,1363,13,1
21,1078,15,2
22,106,19,0
22,610,22,1
22,1296,15,2
23,383,8,0
23,446,15,1
23,-494,15,2
24,-266,16,0
24,957,16,1
24,119,25,2
25,215,21,0
25,-180,17,1
25,565,12,2
26,252,10,0
26,-938,13,1
26,329,16,2
27,988,18,0
27,127,17,1
27,182,11,2
28,959,20,0
28,-129,18,1
28,93,21,2
29,181,19,0
29,661,18,1
29,-198,14,2
30,495,15,0
30,339,18,1
30,114,6,2
31,874,14,0
31,281,15,1
31,-365,14,2
32,362,16,0
32,492,20,1
32,526,17,2
33,254,25,0
33,779,14,1
33,473,13,2
34,182,19,0
34,-179,15,1
34,671,15,2
35,605,19,0
35,-703,30,1
35,582,11,2
36,382,15,0
36,170,24,1
36,367,25,2
37,209,14,0
37,-83,16,1
37,997,18,2
38,300,17,0
38,67,14,1
38,-21,21,2
39,-557,12,0
39,459,14,1
39,440,10,2
40,383,17,0
40,223,22,1
40,541,15,2
41,-1003,10,0
41,-218,21,1
41,-26,18,2
42,725,16,0
42,1253,13,1
42,196,10,2
43,124,17,0
43,711,13,1
43,658,18,2
44,1277,18,0
44,572,14,1
44,968,12,2
