sensor_num,mean,std_dev,axis
0,282,18,0
0,664,18,1
0,147,17,2
1,199,17,0
1,-213,15,1
1,51,14,2
2,-531,16,0
2,226,13,1
2,420,18,2
3,479,15,0
3,588,13,1
3,471,10,2
4,-428,17,0
4,61,21,1
4,638,11,2
5,1244,13,0
5,1308,15,1
5,337,21,2
6,567,23,0
6,451,14,1
6,285,19,2
7,-234,10,0
7,-503,13,1
7,-47,13,2
8,752,17,0
8,-390,17,1
8,376,19,2
9,195,9,0
9,437,13,1
9,516,12,2
10,973,21,0
10,511,12,1
10,135,21,2
11,1853,15,0
11,1135,17,1
11,236,10,2
12,-446,10,0
12,259,14,1
12,120,15,2
13,577,23,0
13,-164,14,1
13,298,12,2
14,803,17,0
14,-146,13,1
14,-345,17,2
15,1187,12,0
15,92,17,1
15,750,19,2
16,1343,24,0
16,-137,15,1
16,391,11,2
17,59,14,0
17,197,10,1
17,-26,16,2
18,517,17,0
18,-636,16,1
18,520,22,2
19,1088,15,0
19,-450,18,1
19,691,12,2
20,281,18,0
20,611,13,1
20,911,18,2
21,1349,16,0
21,-819,17,1
21,-277,12,2
22,310,24,0
22,-42,14,1
22,-32,14,2
23,654,21,0
23,94,12,1
23,205,13,2
24,296,15,0
24,571,21,1
24,-284,18,2
25,372,19,0
25,163,19,1
25,51,20,2
26,1384,24,0
26,472,12,1
26,573,14,2
27,5,13,0
27,-154,16,1
27,-179,10,2
28,-1317,19,0
28,70,21,1
28,616,19,2
29,656,16,0
29,-305,13,1
29,271,9,2
30,362,12,0
30,-49,16,1
30,-325,12,2
31,-27,18,0
31,683,25,1
31,-51,14,2
32,-878,20,0
32,-459,11,1
32,117,16,2
33,1229,13,0
33,-408,10,1
33,819,13,2
34,595,22,0
34,929,20,1
34,-625,10,2
35,424,21,0
35,26,18,1
35,209,19,2
36,1190,15,0
36,390,14,1
36,-83,17,2
37,400,13,0
37,244,19,1
37,723,12,2
38,-63,13,0
38,1200,15,1
38,670,19,2
39,178,17,0
39,478,20,1
39,313,10,2
40,48,23,0
40,745,22,1
40,809,17,2
41,-181,17,0
41,-981,17,1
41,634,15,2
42,639,11,0
42,1242,17,1
42,507,14,2
43,446,15,0
43,759,21,1
43,291,13,2
44,361,21,0
44,-201,11,1
44,284,14,2
